case,mode,correctness,coverage,evidence_quality,task_focus,actionability,caveats,content_score_0_5,content_score_0_100,judge_summary,strengths,weaknesses,judged_in_pass,mode_short,case_class,prompt_style,run_status,agent_ok,validation_ok,hard_pass_rate,soft_pass_rate,answer_words,estimated_cost_usd,agent_elapsed_s,setup_elapsed_s,total_elapsed_s_incl_setup,total_tokens,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,cache_hit_rate,tool_call_count_normalized,crg_tool_call_count,graphify_shell_call_count,code_review_graph_shell_call_count,uvx_crg_shell_call_count,content_rank,quality_per_dollar,quality_per_total_minute,cost_per_quality_point,time_per_quality_point_s,previous_content_score_0_100,strict_content_score_0_100,strict_content_score_0_5,strict_correctness,strict_coverage,strict_evidence_quality,strict_task_focus,strict_actionability,strict_caveats,strict_judge_summary,strict_strengths,strict_weaknesses,score_delta_vs_previous,case_weight,score_gap_to_best,cost_ratio_to_case_min,time_ratio_to_case_min,burden_index,strict_balanced_score_0_100,strict_quality_per_dollar,strict_quality_per_total_minute,strict_cost_per_quality_point,strict_time_per_quality_point_s,score_gap_to_best_prompt_time,prompt_time_ratio_to_case_min,prompt_burden_index,prompt_time_balanced_score_0_100,quality_per_prompt_minute,prompt_time_per_quality_point_s,setup_time_s_reported_separately
inactive-customers-csv,base-default-code-review-graph,4.8,4.8,4.8,4.7,4.7,4.7,4.77,75,"Strong and practical CSV export localization answer, especially around inactivity semantics and export consistency.","Covers controller/list view, search model, last-activity semantics, CustomerService query behavior, IExportManager/ExportManager, MimeTypes.TextCsv, and warns not to copy incomplete existing export filters.",Slightly less complete on UI binding and controller action details than the best answer; actionability is high but more compact.,3,crg,everyday,neutral,completed,True,True,1.0,0.0,819,0.6220870000000001,134.635,24.666,159.301,404183,399587,336384,4596,1196,0.841829188637268,22,6,0,2,0,3.0,153.35475584604723,35.931977828136674,0.0065208280922431,1.6698218029350105,95.4,75,3.75,3.76,3.76,3.76,3.72,3.72,3.72,"Usable but not as strong as base/Graphify: good semantics, thinner controller/UI details.",Good inactivity semantics and service/export coverage.,"Less complete on UI binding, controller action details, and implementation sequence.",-20.40000000000001,0.2333333333333333,8,1.0,1.0225367481866614,1.0112683740933308,72.17746325181334,120.56191497330758,28.24841024224581,0.0082944933333333,2.124013333333333,8,1.32160947070834,1.16080473535417,71.87839052929166,33.42370111783712,1.7951333333333332,24.666
inactive-customers-csv,base-default-graphify-code-review-graph,4.7,4.7,4.7,4.7,4.8,4.7,4.71,72,"Very usable concise map of where to add inactive customer CSV export, with an especially useful distinction between disabled accounts and last-activity inactivity.","Good table of integration points; includes controller, model, service query, export manager, response format, GDPR inactivity precedent, and system-account caveat.",Less exhaustive source evidence than the top answers and slightly thinner on existing export action/filter drift details.,3,graphify+crg,everyday,neutral,completed,True,True,1.0,0.3333333333333333,598,1.182751,159.914,109.85,269.764,926370,919781,803072,6589,2518,0.8731121864878705,30,0,8,2,0,4.0,79.6448280322739,20.95164662445693,0.0125557430997876,2.8637367303609342,94.2,72,3.6,3.6,3.6,3.6,3.6,3.64,3.6,"Usable concise map, but strict grading penalizes thinner source evidence and less complete action detail.",Good integration-point table and service/export/resource mentions.,Less exhaustive evidence; less concrete about existing export action and where exactly to add UI.,-22.200000000000003,0.2333333333333333,11,1.9012630066212604,1.7315873932858337,1.816425199953547,66.5171496000929,60.87502779536859,16.013997419967083,0.0164270972222222,3.7467222222222234,11,1.5697542013507144,1.7355086039859873,66.67898279202804,27.01452030466376,2.2210277777777776,109.85
auth-discovery,base-only,4.8,4.8,4.8,4.6,4.6,4.5,4.734999999999999,77,"Excellent broad authentication discovery answer, covering login, registration, password recovery, MFA, external auth, routing, cookie auth, UI, and validators.","Comprehensive candidate paths with reasons; includes RouteProvider, CustomerController, CustomerRegistrationService, CustomerService, CookieAuthenticationService, authentication setup/middleware, ExternalAuthenticationService, MFA plugin machinery, views, and validators.",Mostly a candidate map rather than a workflow narrative; could be more concise and could separate “core required” vs “adjacent/supporting” files more clearly.,3,base,hard_graph_friendly,neutral,validation_failed,True,False,0.8181818181818182,0.6666666666666666,744,0.7986369999999999,136.134,0.0,136.134,551464,545531,468224,5933,805,0.8582903629674574,61,0,0,0,0,3.0,118.5770256073786,41.7382872757724,0.0084333368532206,1.4375290390707496,94.7,77,3.85,3.88,3.88,3.88,3.79,3.79,3.74,"Good broad auth map, but strict scoring penalizes candidate-map format and limited workflow narrative/uncertainty separation.","Covers login, registration, password recovery, MFA, external auth and important files.",More of a file inventory than a verified flow map; long and not sharply prioritized.,-17.700000000000003,0.0999999999999999,7,1.0,1.0,1.0,74.55,96.4142658053659,33.93715016087091,0.010371909090909,1.7679740259740258,7,1.1871391945863925,1.0935695972931962,74.3628608054136,33.93715016087091,1.7679740259740258,0.0
auth-discovery,base-default-graphify,4.8,4.9,4.8,4.7,4.7,4.6,4.785,80,"Very strong auth discovery answer. It covers login, registration, password recovery, MFA, external auth, cookie auth, public models/views/validators, factories, settings, and admin auth-method management.",Broad and well grouped; fixes the prior Graphify-plus gap by covering external auth; strong source evidence.,Large candidate map; less explicit uncertainty/caveat separation than ideal.,replacement_default_graphify,graphify,hard_graph_friendly,neutral,validation_failed,True,False,0.7272727272727273,0.5714285714285714,981,0.963774,138.893,86.987,225.88,695586,689454,592768,6132,287,0.8597643932735178,74,0,8,0,0,2.0,99.29713812574316,25.420577297680182,0.0100707836990595,2.360292580982236,95.7,80,4.0,4.01,4.05,4.01,3.96,3.96,3.92,"Strong auth discovery answer with broad coverage and better completeness, but still a large map rather than a concise workflow-level synthesis.","Covers primary auth flows, external auth, MFA, services, models, routes/views.",Large and somewhat undifferentiated; caveats and source-confirmed vs inferred boundaries could be clearer.,-15.700000000000005,0.0999999999999999,4,1.20677354041949,1.6592475061336625,1.4330105232765762,77.73397895344684,83.00701201734016,21.250221356472466,0.012047175,2.8235,4,1.2111987024085669,1.2089861214140285,78.18202775717194,34.55897705427919,1.7361625,86.987
auth-discovery,base-default-code-review-graph,4.7,4.7,4.6,4.5,4.6,4.5,4.629999999999999,72,"Strong source-verified candidate map for customer authentication with good coverage of external auth, MFA, tests, and setup.","Includes core controller/service files, external auth, route/UI/model/validator areas, MFA plugin contracts and concrete Google Authenticator implementation, authentication startup, and relevant tests.",Some entries are directory-level references rather than precise file links; organization is useful but slightly less crisp than the best answer.,3,crg,hard_graph_friendly,neutral,validation_failed,True,False,0.8181818181818182,0.6666666666666666,709,0.798755,114.674,25.271,139.945,581315,576463,495360,4852,659,0.8593092704995811,32,6,0,2,0,4.0,115.9304167110065,39.70131122941155,0.0086258639308855,1.5112850971922247,92.6,72,3.6,3.63,3.63,3.59,3.54,3.59,3.54,"Usable source-verified map, but under strict grading it is less precise and more directory-level than the leaders.",Includes core controller/service and several auth-related areas.,Some references are broad or directory-level; less polished organization and lower precision.,-20.599999999999994,0.0999999999999999,12,1.0001477517320134,1.0279944760309696,1.0140711138814915,67.77185777223701,90.1402808120137,30.8692700703848,0.0110938194444444,1.9436805555555556,12,1.0,1.0000738758660068,67.79985224826798,37.67200934823936,1.5926944444444446,25.271
auth-discovery,base-default-graphify-code-review-graph,4.9,4.9,4.8,4.7,4.8,4.6,4.825000000000001,84,"Best auth discovery answer: complete, precise, and well grouped across primary workflows, infrastructure, password reset, MFA, models/views/validators, and external auth.","Strong line-level reasons for CustomerController and CustomerRegistrationService; includes MFA session state, ForceMultiFactorAuthenticationAttribute, concrete plugin controller/service, model filename typo, and ExternalAuthenticationService.","A few view references are broad globs rather than exact file links, and the answer is somewhat long, but it is highly usable.",3,graphify+crg,hard_graph_friendly,neutral,validation_failed,True,False,0.8333333333333334,0.7142857142857143,961,1.135533,197.818,108.548,306.366,851353,845289,727296,6064,1229,0.8604110546807069,32,0,6,2,0,1.0,84.9821185293602,18.898963984254127,0.0117671813471502,3.174777202072539,96.5,84,4.2,4.23,4.23,4.19,4.14,4.19,4.1,"Best strict answer for auth: complete and well grouped, though still long and with some broad/glob references.",Strong workflow grouping across controller/service/MFA/external auth/routes/views.,Long; a few view references are broad rather than exact; not all uncertainty is explicit.,-12.5,0.0999999999999999,0,1.4218387076982408,2.250473797875623,1.836156252786932,82.32768749442613,73.97407208773326,16.45091165468753,0.0135182499999999,3.6472142857142855,0,1.7250466539930587,1.5734426808456496,82.8531146383087,25.477964593717456,2.3549761904761906,108.548
order-total-impact,base-only,4.9,5.0,4.8,4.6,4.8,4.7,4.835,84,Best calibrated answer for the hard impact case. It combines comprehensive coverage with a direct consumer map and clear risk categories.,"Direct consumer table is highly useful; covers all requested areas plus update-order/admin paths, recursion-sensitive payment/tax relationships, plugins, and tests.",Long answer; some display paths are shortened but most links remain source-backed enough for human use.,2,base,hard_graph_friendly,neutral,validation_failed,True,False,0.8181818181818182,1.0,1722,1.089568,188.618,0.0,188.618,714577,705806,600576,8771,2016,0.8509080398863144,38,0,0,0,0,1.0,88.75077094775179,30.760584885853948,0.0112675077559462,1.9505480868665976,96.7,84,4.2,4.23,4.27,4.18,4.09,4.18,4.14,"Best strict answer for impact: comprehensive and directly useful, though length keeps it below exceptional.","Direct consumer table, contract/implementation/service/plugin/test surface, useful prioritization.",Long and dense; some shortened display paths; could separate highest-risk changes more sharply.,-12.700000000000005,0.0999999999999999,0,1.2595317308203613,1.0,1.1297658654101808,83.74046826917964,77.09477517695086,26.72067353062804,0.0129710476190476,2.245452380952381,0,1.1993870102122572,1.2294593705163093,83.54108125896738,26.72067353062804,2.245452380952381,0.0
order-total-impact,base-default-graphify,4.8,4.9,4.8,4.7,4.7,4.6,4.785,78,"Excellent impact analysis. It covers the contract, implementation, DI, OrderProcessingService, checkout/cart UI, payment plugins, discount/tax providers, other plugins, and tests with verified source references.",Broad affected-surface map; strong requested areas; useful plugin/test coverage; direct relationship evidence plus verification.,Some sections are dense and less risk-prioritized than the best base answer; caveats are limited.,replacement_default_graphify,graphify,hard_graph_friendly,neutral,validation_failed,True,False,0.8181818181818182,1.0,807,0.865058,170.024,83.484,253.508,519048,512638,420096,6410,845,0.8194788525236132,64,0,20,0,0,2.0,110.6284202908938,22.650172775612603,0.0090392685475444,2.6489864158829675,95.7,78,3.9,3.91,3.95,3.91,3.86,3.86,3.82,"Good impact map, but strict scoring penalizes density, weaker prioritization, and limited caveats.","Covers contract, DI, order processing, checkout/payment/discount/tax/plugins/tests.",Dense affected-surface list; not as risk-prioritized as base; limited caveats.,-17.700000000000003,0.0999999999999999,6,1.0,1.3440286717068362,1.172014335853418,75.55597132829317,90.167364500415,18.46095586727046,0.0110904871794871,3.2501025641025643,6,1.0811511999084331,1.0405755999542166,75.81884880009157,27.525525808121206,2.1797948717948716,83.484
order-total-impact,base-default-code-review-graph,4.6,4.6,4.8,4.2,4.4,4.3,4.545,70,"Strong impact analysis with broad coverage of checkout, payment, discount, tax, plugins, and tests. Source grounding is excellent; organization is good but less crisp than the best answers.","Very good relationship evidence; covers plugin cycles, recursion risks, direct/indirect consumers, and test suites.",Slightly verbose and less structured for prioritization; misses a few useful direct-consumer framing details present in stronger answers.,2,crg,hard_graph_friendly,neutral,validation_failed,True,False,0.8181818181818182,1.0,1393,1.252809,182.365,25.039,207.404,944769,937629,811008,7140,1443,0.8649561820293528,42,6,0,2,0,4.0,72.55695002191077,26.29650344255656,0.0137822772277227,2.2816721672167213,90.9,70,3.5,3.52,3.52,3.61,3.34,3.43,3.39,"Usable but not strong enough: relationship evidence is useful, but prioritization and direct-consumer framing lag behind.",Good relationship-style coverage of checkout/payment/plugins/tax/discount/tests.,Verbose; less structured; misses useful direct-consumer framing and priority ranking.,-20.90000000000001,0.0999999999999999,14,1.4482369968256465,1.099598129552853,1.27391756318925,64.55216487362149,55.87443896076736,20.25033268403695,0.0178972714285714,2.9629142857142856,14,1.1596253386069109,1.3039311677162786,64.49213766456744,23.030735064294134,2.6052142857142857,25.039
order-total-impact,base-default-graphify-code-review-graph,4.8,4.9,4.9,4.5,4.7,4.6,4.775,79,Excellent broad impact map with strong relationship evidence and a useful architecture diagram. Very close to the best answer; slightly more tool/process-flavored at the end.,"Strong coverage of contract, order processing, checkout, payment plugins, discount, tax providers, directly coupled plugins, and tests; excellent source references.",Still quite long; final Graphify note is not needed for the user task and could be removed in a polished report.,2,graphify+crg,hard_graph_friendly,neutral,validation_failed,True,False,0.8333333333333334,1.0,1541,1.070601,157.262,108.48,265.742,805909,798837,696832,7072,1368,0.8723081179264356,30,0,6,2,0,3.0,89.2022331382093,21.56226716138209,0.0112104816753926,2.7826387434554976,95.5,79,3.95,3.96,4.01,4.01,3.83,3.92,3.87,Strong broad map but not clearly better than base; strict grading penalizes length and unnecessary tool/method note.,Good contract/order-processing/checkout/payment/discount/tax/test coverage.,Long; Graphify note is irrelevant; not clearly more actionable than base.,-16.5,0.0999999999999999,5,1.2376060333526768,1.4088899256698726,1.3232479795112746,76.60350404097746,73.79032898344015,17.836849274860576,0.013551911392405,3.363822784810127,5,1.0,1.1188030166763383,77.01239396664732,30.14078416909361,1.9906582278481013,108.48
cart-to-order-flow,base-only,4.9,4.9,4.9,4.7,4.8,4.7,4.8500000000000005,82,"Excellent cart-to-order trace with detailed source-backed evidence from route/controller entry through cart persistence, checkout, order header/item persistence, and cart cleanup.","Very strong call chain; includes route entries, ShoppingCartController actions, AddToCartAsync persistence, checkout convergence, PlaceOrderAsync sequence, SaveOrderDetailsAsync, MoveShoppingCartItemsToOrderItemsAsync, OrderService persistence, OrderItem mapping, and ClearShoppingCartAsync.","Long and dense; could benefit from a shorter top-level sequence before details, but content quality is very high.",3,base,hard_graph_friendly,neutral,validation_failed,True,False,0.8571428571428571,0.4285714285714285,966,0.8587800000000001,135.827,0.0,135.827,411152,405348,298240,5804,1165,0.7357628506863239,34,0,0,0,0,2.0,112.95093038962248,42.84862361680667,0.0088534020618556,1.400278350515464,97.0,82,4.1,4.12,4.12,4.12,4.03,4.08,4.03,"Strong flow trace with detailed source evidence, but strict grading penalizes density and lack of concise executive sequence.","Detailed chain from route/controller to cart service, checkout, PlaceOrderAsync, post-processing and cleanup.",Long and dense; could better isolate the minimal flow from supporting detail.,-15.0,0.0999999999999999,5,1.0,1.0,1.0,80.25,95.48429166957776,36.22254779977471,0.0104729268292682,1.6564268292682929,5,1.0801695481367202,1.04008477406836,80.16983045186328,36.22254779977471,1.6564268292682927,0.0
